dateindex,date,date_integer,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TI,TG,UR,VD,VS,ZG,ZH
2015-10-22,2015-10-22,53,10.0,47.0,,18.0,5.0,9.0,6.0,2.0,,10.0,,10.0,,,,10.0,37.0,13.0,9.0,4.0,8.0,100.0,3.0,,15.0,7.0
2015-10-23,2015-10-23,54,2.0,,,7.0,3.0,4.0,,2.0,,6.0,,3.0,,,,6.0,11.0,,4.0,3.0,,100.0,,,,4.0
2015-10-24,2015-10-24,55,49.0,,,75.0,44.0,29.0,36.0,,,100.0,,81.0,,,,30.0,91.0,,30.0,,44.0,,,,50.0,26.0
2015-10-25,2015-10-25,56,13.0,,,45.0,26.0,33.0,21.0,,,20.0,,39.0,,100.0,,18.0,42.0,,26.0,,19.0,,7.0,,30.0,11.0
2015-10-26,2015-10-26,57,7.0,24.0,,7.0,8.0,2.0,5.0,1.0,,5.0,,5.0,4.0,,100.0,6.0,,7.0,6.0,,4.0,,,,6.0,4.0
2015-10-27,2015-10-27,58,35.0,,,14.0,12.0,12.0,27.0,,,,,16.0,16.0,100.0,,20.0,,45.0,49.0,10.0,,,,13.0,32.0,16.0
2015-10-28,2015-10-28,59,7.0,,,18.0,13.0,5.0,6.0,2.0,,14.0,,13.0,,,90.0,7.0,19.0,13.0,16.0,,16.0,100.0,,6.0,14.0,9.0
2015-10-29,2015-10-29,60,6.0,45.0,,6.0,7.0,8.0,5.0,,100.0,22.0,,9.0,,34.0,,4.0,,18.0,5.0,,10.0,,1.0,,6.0,7.0
2015-10-30,2015-10-30,61,30.0,,,24.0,17.0,21.0,34.0,4.0,,46.0,,30.0,,,,25.0,100.0,52.0,16.0,,20.0,,,15.0,18.0,13.0
2015-10-31,2015-10-31,62,25.0,,,40.0,37.0,25.0,36.0,,,78.0,,33.0,,,,100.0,96.0,,32.0,,,,17.0,29.0,,20.0
2015-11-01,2015-11-01,63,14.0,,,14.0,18.0,10.0,,8.0,,40.0,,13.0,,,,14.0,73.0,100.0,29.0,15.0,26.0,,3.0,11.0,18.0,13.0
2015-11-02,2015-11-02,64,13.0,40.0,,18.0,18.0,12.0,9.0,2.0,,,,13.0,10.0,,100.0,17.0,84.0,,8.0,,11.0,,,,14.0,10.0
2015-11-03,2015-11-03,65,29.0,100.0,,45.0,18.0,11.0,,8.0,,24.0,,18.0,,,,31.0,55.0,65.0,,,45.0,,,,19.0,20.0
2015-11-04,2015-11-04,66,3.0,38.0,,14.0,14.0,9.0,15.0,,,,,7.0,,42.0,86.0,10.0,20.0,22.0,16.0,,22.0,100.0,3.0,,8.0,9.0
2015-11-05,2015-11-05,67,9.0,,,8.0,13.0,11.0,16.0,2.0,,,,17.0,9.0,57.0,100.0,15.0,29.0,15.0,,6.0,29.0,,2.0,,9.0,9.0
2015-11-06,2015-11-06,68,55.0,,,31.0,43.0,19.0,29.0,7.0,,41.0,,30.0,,,,35.0,,57.0,44.0,,37.0,,,,100.0,26.0
2015-11-07,2015-11-07,69,2.0,,,,7.0,5.0,,1.0,,,,6.0,,100.0,,6.0,,,5.0,,13.0,,1.0,4.0,14.0,4.0
2015-11-08,2015-11-08,70,3.0,46.0,,,10.0,9.0,,,,10.0,,3.0,,,100.0,10.0,,,8.0,,11.0,,1.0,5.0,9.0,6.0
2015-11-09,2015-11-09,71,11.0,,,21.0,24.0,21.0,29.0,4.0,,21.0,,24.0,16.0,98.0,,20.0,100.0,30.0,43.0,,18.0,,7.0,13.0,35.0,22.0
2015-11-10,2015-11-10,72,23.0,100.0,,,16.0,26.0,19.0,4.0,,27.0,,30.0,23.0,,,19.0,,82.0,48.0,,44.0,,9.0,18.0,22.0,25.0
2015-11-11,2015-11-11,73,13.0,37.0,,11.0,6.0,8.0,7.0,,,10.0,,7.0,,,,5.0,34.0,16.0,27.0,,8.0,100.0,3.0,,7.0,10.0
2015-11-12,2015-11-12,74,9.0,,,21.0,7.0,2.0,7.0,2.0,,10.0,,9.0,,,100.0,7.0,24.0,,7.0,,23.0,,,,8.0,6.0
2015-11-13,2015-11-13,75,17.0,100.0,,35.0,14.0,10.0,18.0,6.0,,76.0,,18.0,19.0,,,24.0,,,33.0,12.0,21.0,,4.0,,83.0,17.0
2015-11-14,2015-11-14,76,17.0,,,16.0,15.0,24.0,21.0,4.0,,21.0,,21.0,,100.0,,26.0,49.0,,20.0,,19.0,,,23.0,22.0,12.0
2015-11-15,2015-11-15,77,11.0,,,6.0,6.0,6.0,,,,10.0,,7.0,8.0,,,8.0,18.0,,11.0,5.0,15.0,100.0,3.0,,8.0,7.0
2015-11-16,2015-11-16,78,26.0,100.0,,49.0,8.0,34.0,20.0,9.0,,,,26.0,,,,42.0,,39.0,38.0,14.0,84.0,,,19.0,23.0,28.0
2015-11-17,2015-11-17,79,24.0,,,15.0,18.0,15.0,,4.0,,23.0,,28.0,,,,19.0,100.0,32.0,23.0,,72.0,,4.0,,35.0,20.0
2015-11-18,2015-11-18,80,7.0,,100.0,6.0,4.0,3.0,,1.0,,8.0,,4.0,,,,6.0,,,4.0,,3.0,,,,,3.0
2015-11-19,2015-11-19,81,12.0,,,8.0,12.0,10.0,8.0,4.0,,10.0,,16.0,,48.0,100.0,12.0,28.0,25.0,23.0,,29.0,,,7.0,8.0,9.0
2015-11-20,2015-11-20,82,18.0,,,24.0,29.0,31.0,35.0,,,100.0,,42.0,,,,19.0,,53.0,57.0,,46.0,,,,26.0,28.0
2015-11-21,2015-11-21,83,5.0,100.0,,15.0,10.0,7.0,14.0,4.0,,40.0,,15.0,,,,18.0,,68.0,12.0,,,,3.0,12.0,,10.0
2015-11-22,2015-11-22,84,11.0,,,12.0,6.0,8.0,7.0,4.0,,11.0,,8.0,,100.0,,17.0,23.0,16.0,19.0,,28.0,,,6.0,9.0,9.0
2015-11-23,2015-11-23,85,22.0,,,28.0,20.0,23.0,14.0,3.0,,21.0,92.0,21.0,,,,14.0,100.0,30.0,,9.0,18.0,,3.0,13.0,24.0,21.0
2015-11-24,2015-11-24,86,3,,100,4,3,2,,<1,,3,,1,,,,3,6,4,4,1,2,,<1,,4,2
2015-11-25,2015-11-25,87,8.0,65.0,,27.0,23.0,8.0,,2.0,100.0,15.0,,13.0,12.0,,,19.0,35.0,21.0,10.0,,24.0,,2.0,,36.0,9.0
2015-11-26,2015-11-26,88,11.0,100.0,,35.0,11.0,7.0,11.0,3.0,,16.0,,23.0,,,,6.0,,24.0,28.0,,14.0,,3.0,,26.0,12.0
2015-11-27,2015-11-27,89,13.0,100.0,,14.0,16.0,11.0,13.0,4.0,,20.0,,9.0,15.0,,,23.0,,40.0,25.0,,25.0,,4.0,13.0,16.0,17.0
2015-11-28,2015-11-28,90,6.0,,,9.0,22.0,3.0,,,84.0,9.0,,10.0,,,,9.0,,20.0,5.0,,,100.0,1.0,4.0,,4.0
2015-11-29,2015-11-29,91,17.0,100.0,,24.0,11.0,11.0,,,,16.0,,6.0,,,,9.0,,27.0,9.0,,,,,,,12.0
2015-11-30,2015-11-30,92,15.0,,,10.0,14.0,14.0,14.0,5.0,100.0,,,12.0,,,,20.0,,,14.0,7.0,25.0,,3.0,,23.0,12.0
2015-12-01,2015-12-01,93,20.0,,,11.0,12.0,6.0,,7.0,100.0,16.0,,14.0,12.0,,,16.0,33.0,,40.0,,19.0,,5.0,,11.0,12.0
2015-12-02,2015-12-02,94,12.0,,,8.0,8.0,9.0,,2.0,,24.0,,12.0,,,,12.0,27.0,18.0,14.0,,10.0,100.0,2.0,,9.0,8.0
2015-12-03,2015-12-03,95,34.0,,,66.0,55.0,16.0,,6.0,,76.0,,38.0,,,,25.0,,,24.0,,100.0,,6.0,,,29.0
2015-12-04,2015-12-04,96,49.0,,,44.0,17.0,60.0,,29.0,,,,79.0,,,,69.0,,,100.0,,80.0,,20.0,41.0,,43.0
2015-12-05,2015-12-05,97,10.0,,,16.0,5.0,5.0,,2.0,,10.0,60.0,6.0,,,100.0,8.0,36.0,15.0,9.0,,18.0,,,,,6.0
2015-12-06,2015-12-06,98,6.0,,,15.0,7.0,7.0,6.0,2.0,,10.0,,16.0,,42.0,,8.0,,,11.0,,8.0,100.0,3.0,,,5.0
2015-12-07,2015-12-07,99,52.0,,,22.0,26.0,18.0,,5.0,,61.0,,39.0,,,,12.0,100.0,,39.0,,52.0,,,,54.0,22.0
2015-12-08,2015-12-08,100,14.0,,,24.0,20.0,9.0,,7.0,,,,25.0,13.0,100.0,,7.0,61.0,,16.0,12.0,22.0,,,13.0,18.0,14.0
2015-12-09,2015-12-09,101,36.0,,,100.0,28.0,10.0,23.0,5.0,,86.0,,35.0,,,,32.0,79.0,50.0,,,29.0,,5.0,,54.0,28.0
2015-12-10,2015-12-10,102,43.0,,,24.0,10.0,23.0,,11.0,,37.0,,30.0,,,,39.0,80.0,100.0,59.0,,59.0,,,23.0,28.0,19.0
2015-12-11,2015-12-11,103,21.0,,,29.0,17.0,30.0,29.0,12.0,,40.0,,26.0,,,,22.0,100.0,57.0,51.0,,68.0,,12.0,,,18.0
2015-12-12,2015-12-12,104,12.0,92.0,,12.0,7.0,9.0,10.0,3.0,100.0,,,10.0,,,,6.0,32.0,,,,24.0,,2.0,,13.0,7.0
2015-12-13,2015-12-13,105,71.0,,,54.0,50.0,59.0,,31.0,,100.0,,44.0,37.0,,,44.0,,66.0,94.0,,61.0,,8.0,,90.0,31.0
2015-12-14,2015-12-14,106,19.0,,,13.0,11.0,5.0,8.0,2.0,,12.0,,12.0,9.0,,100.0,6.0,,35.0,19.0,6.0,36.0,,2.0,,,10.0
2015-12-15,2015-12-15,107,19.0,88.0,,14.0,6.0,12.0,14.0,3.0,,21.0,,28.0,,100.0,,14.0,,30.0,27.0,10.0,35.0,,3.0,14.0,,11.0
2015-12-16,2015-12-16,108,20.0,,,81.0,53.0,28.0,,6.0,,73.0,,52.0,,,,71.0,82.0,55.0,26.0,,100.0,,6.0,,,27.0
2015-12-17,2015-12-17,109,13.0,,,25.0,11.0,9.0,,4.0,,41.0,,24.0,18.0,100.0,,16.0,,,,,42.0,,8.0,,36.0,16.0
2015-12-18,2015-12-18,110,24.0,,,,13.0,22.0,,7.0,,56.0,,24.0,,,,16.0,100.0,,36.0,,51.0,,,,24.0,14.0
2015-12-19,2015-12-19,111,17.0,100.0,,13.0,11.0,6.0,,3.0,,,,29.0,,,,18.0,,,10.0,,,,,9.0,17.0,8.0
2015-12-20,2015-12-20,112,23.0,,,15.0,25.0,19.0,13.0,,,29.0,,19.0,,100.0,,6.0,77.0,,11.0,,18.0,,,11.0,,11.0
2015-12-21,2015-12-21,113,10.0,,,15.0,11.0,9.0,,2.0,82.0,,,11.0,,,100.0,8.0,,,14.0,,10.0,,2.0,,14.0,8.0
2015-12-22,2015-12-22,114,8.0,,,12.0,14.0,5.0,9.0,3.0,,15.0,,16.0,10.0,,100.0,10.0,,16.0,13.0,,,,,7.0,10.0,7.0
2015-12-23,2015-12-23,115,39.0,,,49.0,47.0,43.0,,36.0,,91.0,,100.0,,,,30.0,,,,,64.0,,13.0,39.0,60.0,44.0
2015-12-24,2015-12-24,116,5.0,100.0,,10.0,,3.0,,,,10.0,,10.0,,,,9.0,30.0,,8.0,6.0,,,2.0,,,5.0
2015-12-25,2015-12-25,117,12.0,,,9.0,9.0,9.0,,3.0,100.0,9.0,,13.0,,51.0,,9.0,,21.0,7.0,,23.0,,,,,4.0
2015-12-26,2015-12-26,118,13.0,,,69.0,18.0,20.0,,26.0,,,,34.0,,,,14.0,100.0,,27.0,,,,,,,31.0
