,canton,search_wohnung,date
14906,Luzern,19.0,2016-07-25
14907,Bern,19.0,2016-07-25
14908,Sankt Gallen,16.0,2016-07-25
14909,Zürich,14.0,2016-07-25
14910,Aargau,14.0,2016-07-25
14911,Basel-Stadt,9.0,2016-07-25
14912,Wallis,8.0,2016-07-25
14913,Tessin,6.0,2016-07-25
14914,Waadt,2.0,2016-07-25
14915,Appenzell Innerrhoden,,2016-07-25
14916,Appenzell Ausserrhoden,,2016-07-25
14917,Freiburg,,2016-07-25
14918,Genf,,2016-07-25
14919,Glarus,,2016-07-25
14920,Jura,,2016-07-25
14921,Neuenburg,,2016-07-25
14922,Solothurn,,2016-07-25
14923,Uri,,2016-07-25
14924,Schaffhausen,100.0,2015-09-23
14925,Nidwalden,96.0,2015-09-23
14926,Zug,35.0,2015-09-23
14927,Schwyz,32.0,2015-09-23
14928,Graubünden,26.0,2015-09-23
14929,Luzern,25.0,2015-09-23
14930,Solothurn,22.0,2015-09-23
14931,Basel-Stadt,21.0,2015-09-23
14932,Thurgau,17.0,2015-09-23
14933,Basel-Landschaft,16.0,2015-09-23
14934,Sankt Gallen,16.0,2015-09-23
14935,Bern,15.0,2015-09-23
14936,Zürich,13.0,2015-09-23
14937,Aargau,11.0,2015-09-23
14938,Tessin,9.0,2015-09-23
14939,Waadt,7.0,2015-09-23
14940,Genf,5.0,2015-09-23
14941,Appenzell Innerrhoden,,2015-09-23
14942,Appenzell Ausserrhoden,,2015-09-23
14943,Freiburg,,2015-09-23
14944,Glarus,,2015-09-23
14945,Jura,,2015-09-23
14946,Neuenburg,,2015-09-23
14947,Obwalden,,2015-09-23
14948,Uri,,2015-09-23
14949,Wallis,,2015-09-23
14950,Schaffhausen,100.0,2015-11-09
14951,Nidwalden,98.0,2015-11-09
14952,Solothurn,43.0,2015-11-09
14953,Zug,35.0,2015-11-09
14954,Schwyz,30.0,2015-11-09
14955,Freiburg,29.0,2015-11-09
14956,Basel-Stadt,24.0,2015-11-09
14957,Luzern,24.0,2015-11-09
14958,Zürich,22.0,2015-11-09
14959,Basel-Landschaft,21.0,2015-11-09
14960,Bern,21.0,2015-11-09
14961,Graubünden,21.0,2015-11-09
14962,Sankt Gallen,20.0,2015-11-09
14963,Thurgau,18.0,2015-11-09
14964,Neuenburg,16.0,2015-11-09
14965,Wallis,13.0,2015-11-09
14966,Aargau,11.0,2015-11-09
14967,Waadt,7.0,2015-11-09
14968,Genf,4.0,2015-11-09
14969,Appenzell Innerrhoden,,2015-11-09
14970,Appenzell Ausserrhoden,,2015-11-09
14971,Glarus,,2015-11-09
14972,Jura,,2015-11-09
14973,Obwalden,,2015-11-09
14974,Tessin,,2015-11-09
14975,Uri,,2015-11-09
14976,Basel-Landschaft,100.0,2015-10-13
14977,Schaffhausen,81.0,2015-10-13
14978,Solothurn,35.0,2015-10-13
14979,Sankt Gallen,29.0,2015-10-13
14980,Thurgau,29.0,2015-10-13
14981,Bern,25.0,2015-10-13
14982,Basel-Stadt,25.0,2015-10-13
14983,Luzern,24.0,2015-10-13
14984,Zürich,22.0,2015-10-13
14985,Tessin,14.0,2015-10-13
14986,Aargau,12.0,2015-10-13
14987,Genf,9.0,2015-10-13
14988,Waadt,5.0,2015-10-13
14989,Appenzell Innerrhoden,,2015-10-13
14990,Appenzell Ausserrhoden,,2015-10-13
14991,Freiburg,,2015-10-13
14992,Glarus,,2015-10-13
14993,Graubünden,,2015-10-13
14994,Jura,,2015-10-13
14995,Neuenburg,,2015-10-13
14996,Nidwalden,,2015-10-13
14997,Obwalden,,2015-10-13
14998,Schwyz,,2015-10-13
14999,Uri,,2015-10-13
15000,Wallis,,2015-10-13
15001,Zug,,2015-10-13
15002,Nidwalden,100.0,2018-02-01
15003,Appenzell Ausserrhoden,96.0,2018-02-01
15004,Uri,73.0,2018-02-01
15005,Glarus,63.0,2018-02-01
15006,Obwalden,54.0,2018-02-01
15007,Schwyz,38.0,2018-02-01
15008,Zug,38.0,2018-02-01
15009,Sankt Gallen,35.0,2018-02-01
15010,Schaffhausen,32.0,2018-02-01
15011,Jura,32.0,2018-02-01
15012,Aargau,31.0,2018-02-01
15013,Luzern,29.0,2018-02-01
15014,Bern,27.0,2018-02-01
15015,Graubünden,27.0,2018-02-01
15016,Zürich,24.0,2018-02-01
15017,Basel-Stadt,24.0,2018-02-01
15018,Basel-Landschaft,23.0,2018-02-01
15019,Solothurn,22.0,2018-02-01
15020,Thurgau,16.0,2018-02-01
15021,Waadt,9.0,2018-02-01
15022,Freiburg,8.0,2018-02-01
15023,Wallis,6.0,2018-02-01
15024,Tessin,6.0,2018-02-01
15025,Appenzell Innerrhoden,,2018-02-01
15026,Genf,,2018-02-01
15027,Neuenburg,,2018-02-01
15028,Glarus,100.0,2016-11-01
15029,Nidwalden,80.0,2016-11-01
15030,Appenzell Ausserrhoden,72.0,2016-11-01
15031,Schwyz,51.0,2016-11-01
15032,Schaffhausen,41.0,2016-11-01
15033,Aargau,37.0,2016-11-01
15034,Solothurn,23.0,2016-11-01
15035,Basel-Landschaft,21.0,2016-11-01
15036,Thurgau,19.0,2016-11-01
15037,Graubünden,17.0,2016-11-01
15038,Zürich,17.0,2016-11-01
15039,Bern,16.0,2016-11-01
15040,Zug,16.0,2016-11-01
15041,Sankt Gallen,15.0,2016-11-01
15042,Neuenburg,13.0,2016-11-01
15043,Basel-Stadt,10.0,2016-11-01
15044,Luzern,9.0,2016-11-01
15045,Genf,3.0,2016-11-01
15046,Waadt,2.0,2016-11-01
15047,Appenzell Innerrhoden,,2016-11-01
15048,Freiburg,,2016-11-01
15049,Jura,,2016-11-01
15050,Obwalden,,2016-11-01
15051,Tessin,,2016-11-01
15052,Uri,,2016-11-01
15053,Wallis,,2016-11-01
15054,Uri,100.0,2016-03-12
15055,Nidwalden,61.0,2016-03-12
15056,Schaffhausen,56.0,2016-03-12
15057,Solothurn,41.0,2016-03-12
15058,Thurgau,28.0,2016-03-12
15059,Sankt Gallen,25.0,2016-03-12
15060,Zug,24.0,2016-03-12
15061,Basel-Landschaft,23.0,2016-03-12
15062,Luzern,19.0,2016-03-12
15063,Graubünden,18.0,2016-03-12
15064,Zürich,13.0,2016-03-12
15065,Aargau,10.0,2016-03-12
15066,Bern,9.0,2016-03-12
15067,Freiburg,9.0,2016-03-12
15068,Basel-Stadt,8.0,2016-03-12
15069,Wallis,8.0,2016-03-12
15070,Tessin,6.0,2016-03-12
15071,Genf,2.0,2016-03-12
15072,Waadt,2.0,2016-03-12
15073,Appenzell Innerrhoden,,2016-03-12
15074,Appenzell Ausserrhoden,,2016-03-12
15075,Glarus,,2016-03-12
15076,Jura,,2016-03-12
15077,Neuenburg,,2016-03-12
15078,Obwalden,,2016-03-12
15079,Schwyz,,2016-03-12
15080,Schaffhausen,100.0,2017-02-27
15081,Glarus,87.0,2017-02-27
15082,Luzern,54.0,2017-02-27
15083,Schwyz,47.0,2017-02-27
15084,Thurgau,32.0,2017-02-27
15085,Sankt Gallen,31.0,2017-02-27
15086,Graubünden,28.0,2017-02-27
15087,Aargau,24.0,2017-02-27
15088,Basel-Stadt,24.0,2017-02-27
15089,Bern,23.0,2017-02-27
15090,Zürich,20.0,2017-02-27
15091,Basel-Landschaft,19.0,2017-02-27
15092,Solothurn,15.0,2017-02-27
15093,Freiburg,7.0,2017-02-27
15094,Tessin,5.0,2017-02-27
15095,Waadt,3.0,2017-02-27
15096,Genf,3.0,2017-02-27
15097,Appenzell Innerrhoden,,2017-02-27
15098,Appenzell Ausserrhoden,,2017-02-27
15099,Jura,,2017-02-27
15100,Neuenburg,,2017-02-27
15101,Nidwalden,,2017-02-27
15102,Obwalden,,2017-02-27
15103,Uri,,2017-02-27
15104,Wallis,,2017-02-27
15105,Zug,,2017-02-27
15106,Nidwalden,100.0,2015-12-15
15107,Appenzell Ausserrhoden,88.0,2015-12-15
15108,Thurgau,35.0,2015-12-15
15109,Schwyz,30.0,2015-12-15
15110,Luzern,28.0,2015-12-15
15111,Solothurn,27.0,2015-12-15
15112,Graubünden,21.0,2015-12-15
15113,Aargau,19.0,2015-12-15
15114,Sankt Gallen,14.0,2015-12-15
15115,Basel-Landschaft,14.0,2015-12-15
15116,Freiburg,14.0,2015-12-15
15117,Wallis,14.0,2015-12-15
15118,Bern,12.0,2015-12-15
15119,Zürich,11.0,2015-12-15
15120,Tessin,10.0,2015-12-15
15121,Basel-Stadt,6.0,2015-12-15
15122,Genf,3.0,2015-12-15
15123,Waadt,3.0,2015-12-15
15124,Appenzell Innerrhoden,,2015-12-15
15125,Glarus,,2015-12-15
15126,Jura,,2015-12-15
15127,Neuenburg,,2015-12-15
15128,Obwalden,,2015-12-15
15129,Schaffhausen,,2015-12-15
15130,Uri,,2015-12-15
15131,Zug,,2015-12-15
15132,Nidwalden,100.0,2016-01-14
15133,Appenzell Ausserrhoden,91.0,2016-01-14
15134,Thurgau,59.0,2016-01-14
15135,Schaffhausen,50.0,2016-01-14
15136,Zug,50.0,2016-01-14
15137,Schwyz,39.0,2016-01-14
15138,Solothurn,31.0,2016-01-14
15139,Aargau,28.0,2016-01-14
15140,Sankt Gallen,27.0,2016-01-14
15141,Basel-Landschaft,26.0,2016-01-14
15142,Luzern,25.0,2016-01-14
15143,Zürich,21.0,2016-01-14
15144,Neuenburg,17.0,2016-01-14
15145,Bern,16.0,2016-01-14
15146,Basel-Stadt,15.0,2016-01-14
15147,Graubünden,12.0,2016-01-14
15148,Freiburg,11.0,2016-01-14
15149,Tessin,7.0,2016-01-14
15150,Genf,6.0,2016-01-14
15151,Waadt,5.0,2016-01-14
15152,Appenzell Innerrhoden,,2016-01-14
15153,Glarus,,2016-01-14
15154,Jura,,2016-01-14
15155,Obwalden,,2016-01-14
15156,Uri,,2016-01-14
15157,Wallis,,2016-01-14
15158,Appenzell Innerrhoden,100.0,2018-04-30
15159,Uri,88.0,2018-04-30
15160,Obwalden,70.0,2018-04-30
15161,Nidwalden,64.0,2018-04-30
15162,Appenzell Ausserrhoden,63.0,2018-04-30
15163,Basel-Landschaft,27.0,2018-04-30
15164,Luzern,24.0,2018-04-30
15165,Jura,20.0,2018-04-30
15166,Sankt Gallen,20.0,2018-04-30
15167,Aargau,18.0,2018-04-30
15168,Zürich,17.0,2018-04-30
15169,Bern,16.0,2018-04-30
15170,Solothurn,16.0,2018-04-30
15171,Basel-Stadt,15.0,2018-04-30
15172,Thurgau,15.0,2018-04-30
15173,Zug,13.0,2018-04-30
15174,Freiburg,9.0,2018-04-30
15175,Wallis,9.0,2018-04-30
15176,Graubünden,7.0,2018-04-30
15177,Waadt,6.0,2018-04-30
15178,Tessin,4.0,2018-04-30
15179,Genf,,2018-04-30
15180,Glarus,,2018-04-30
15181,Neuenburg,,2018-04-30
15182,Schaffhausen,,2018-04-30
15183,Schwyz,,2018-04-30
15184,Graubünden,100.0,2017-06-10
15185,Luzern,86.0,2017-06-10
15186,Aargau,73.0,2017-06-10
15187,Thurgau,57.0,2017-06-10
15188,Basel-Landschaft,55.0,2017-06-10
15189,Sankt Gallen,49.0,2017-06-10
15190,Schwyz,43.0,2017-06-10
15191,Freiburg,43.0,2017-06-10
15192,Zug,38.0,2017-06-10
15193,Bern,36.0,2017-06-10
15194,Zürich,26.0,2017-06-10
15195,Tessin,15.0,2017-06-10
15196,Basel-Stadt,13.0,2017-06-10
15197,Waadt,11.0,2017-06-10
15198,Appenzell Innerrhoden,,2017-06-10
15199,Appenzell Ausserrhoden,,2017-06-10
15200,Genf,,2017-06-10
15201,Glarus,,2017-06-10
15202,Jura,,2017-06-10
15203,Neuenburg,,2017-06-10
15204,Nidwalden,,2017-06-10
15205,Obwalden,,2017-06-10
15206,Schaffhausen,,2017-06-10
15207,Solothurn,,2017-06-10
15208,Uri,,2017-06-10
15209,Wallis,,2017-06-10
15210,Glarus,100.0,2016-05-23
15211,Appenzell Ausserrhoden,92.0,2016-05-23
15212,Uri,51.0,2016-05-23
15213,Graubünden,29.0,2016-05-23
15214,Schaffhausen,20.0,2016-05-23
15215,Solothurn,17.0,2016-05-23
15216,Basel-Stadt,12.0,2016-05-23
15217,Aargau,12.0,2016-05-23
15218,Sankt Gallen,11.0,2016-05-23
15219,Zürich,10.0,2016-05-23
15220,Schwyz,10.0,2016-05-23
15221,Thurgau,9.0,2016-05-23
15222,Freiburg,8.0,2016-05-23
15223,Basel-Landschaft,8.0,2016-05-23
15224,Bern,7.0,2016-05-23
15225,Zug,7.0,2016-05-23
15226,Luzern,5.0,2016-05-23
15227,Wallis,4.0,2016-05-23
15228,Tessin,3.0,2016-05-23
15229,Genf,1.0,2016-05-23
15230,Waadt,1.0,2016-05-23
15231,Appenzell Innerrhoden,,2016-05-23
15232,Jura,,2016-05-23
15233,Neuenburg,,2016-05-23
15234,Nidwalden,,2016-05-23
15235,Obwalden,,2016-05-23
15236,Schaffhausen,100.0,2017-09-04
15237,Appenzell Ausserrhoden,86.0,2017-09-04
15238,Luzern,47.0,2017-09-04
15239,Graubünden,42.0,2017-09-04
15240,Basel-Landschaft,40.0,2017-09-04
15241,Bern,32.0,2017-09-04
15242,Thurgau,30.0,2017-09-04
15243,Sankt Gallen,30.0,2017-09-04
15244,Aargau,28.0,2017-09-04
15245,Basel-Stadt,28.0,2017-09-04
15246,Zürich,26.0,2017-09-04
15247,Schwyz,25.0,2017-09-04
15248,Zug,18.0,2017-09-04
15249,Tessin,16.0,2017-09-04
15250,Solothurn,12.0,2017-09-04
15251,Waadt,11.0,2017-09-04
15252,Wallis,11.0,2017-09-04
15253,Genf,10.0,2017-09-04
15254,Appenzell Innerrhoden,,2017-09-04
15255,Freiburg,,2017-09-04
15256,Glarus,,2017-09-04
15257,Jura,,2017-09-04
15258,Neuenburg,,2017-09-04
15259,Nidwalden,,2017-09-04
15260,Obwalden,,2017-09-04
15261,Uri,,2017-09-04
15262,Uri,100.0,2018-08-19
15263,Glarus,90.0,2018-08-19
15264,Thurgau,77.0,2018-08-19
15265,Schaffhausen,69.0,2018-08-19
15266,Appenzell Ausserrhoden,69.0,2018-08-19
15267,Luzern,65.0,2018-08-19
15268,Zug,58.0,2018-08-19
15269,Zürich,48.0,2018-08-19
15270,Basel-Landschaft,45.0,2018-08-19
15271,Aargau,42.0,2018-08-19
15272,Solothurn,40.0,2018-08-19
15273,Sankt Gallen,40.0,2018-08-19
15274,Graubünden,39.0,2018-08-19
15275,Bern,35.0,2018-08-19
15276,Basel-Stadt,34.0,2018-08-19
15277,Freiburg,32.0,2018-08-19
15278,Wallis,29.0,2018-08-19
15279,Schwyz,22.0,2018-08-19
15280,Tessin,11.0,2018-08-19
15281,Waadt,8.0,2018-08-19
15282,Appenzell Innerrhoden,,2018-08-19
15283,Genf,,2018-08-19
15284,Jura,,2018-08-19
15285,Neuenburg,,2018-08-19
15286,Nidwalden,,2018-08-19
15287,Obwalden,,2018-08-19
15288,Appenzell Innerrhoden,100.0,2017-12-13
15289,Uri,79.0,2017-12-13
15290,Appenzell Ausserrhoden,53.0,2017-12-13
15291,Glarus,38.0,2017-12-13
15292,Nidwalden,30.0,2017-12-13
15293,Thurgau,24.0,2017-12-13
15294,Sankt Gallen,23.0,2017-12-13
15295,Zug,22.0,2017-12-13
15296,Graubünden,20.0,2017-12-13
15297,Schaffhausen,18.0,2017-12-13
15298,Basel-Landschaft,16.0,2017-12-13
15299,Aargau,13.0,2017-12-13
15300,Schwyz,13.0,2017-12-13
15301,Bern,12.0,2017-12-13
15302,Solothurn,12.0,2017-12-13
15303,Zürich,12.0,2017-12-13
15304,Basel-Stadt,12.0,2017-12-13
15305,Luzern,9.0,2017-12-13
15306,Freiburg,9.0,2017-12-13
15307,Wallis,8.0,2017-12-13
15308,Waadt,5.0,2017-12-13
15309,Tessin,3.0,2017-12-13
15310,Genf,2.0,2017-12-13
15311,Jura,,2017-12-13
15312,Neuenburg,,2017-12-13
15313,Obwalden,,2017-12-13
15314,Nidwalden,100.0,2018-02-20
15315,Glarus,40.0,2018-02-20
15316,Uri,40.0,2018-02-20
15317,Schaffhausen,37.0,2018-02-20
15318,Schwyz,30.0,2018-02-20
15319,Solothurn,20.0,2018-02-20
15320,Basel-Landschaft,19.0,2018-02-20
15321,Zürich,16.0,2018-02-20
15322,Luzern,16.0,2018-02-20
15323,Sankt Gallen,15.0,2018-02-20
15324,Zug,15.0,2018-02-20
15325,Thurgau,14.0,2018-02-20
15326,Bern,14.0,2018-02-20
15327,Aargau,14.0,2018-02-20
15328,Graubünden,13.0,2018-02-20
15329,Basel-Stadt,11.0,2018-02-20
15330,Wallis,4.0,2018-02-20
15331,Waadt,2.0,2018-02-20
15332,Genf,2.0,2018-02-20
15333,Appenzell Innerrhoden,,2018-02-20
15334,Appenzell Ausserrhoden,,2018-02-20
15335,Freiburg,,2018-02-20
15336,Jura,,2018-02-20
15337,Neuenburg,,2018-02-20
15338,Obwalden,,2018-02-20
15339,Tessin,,2018-02-20
15340,Obwalden,100.0,2016-11-20
15341,Appenzell Ausserrhoden,69.0,2016-11-20
15342,Zug,38.0,2016-11-20
15343,Luzern,32.0,2016-11-20
15344,Sankt Gallen,31.0,2016-11-20
15345,Thurgau,29.0,2016-11-20
15346,Basel-Stadt,28.0,2016-11-20
15347,Graubünden,25.0,2016-11-20
15348,Schwyz,22.0,2016-11-20
15349,Bern,21.0,2016-11-20
15350,Zürich,16.0,2016-11-20
15351,Tessin,14.0,2016-11-20
15352,Basel-Landschaft,13.0,2016-11-20
15353,Aargau,13.0,2016-11-20
15354,Wallis,9.0,2016-11-20
15355,Solothurn,9.0,2016-11-20
15356,Genf,6.0,2016-11-20
15357,Appenzell Innerrhoden,,2016-11-20
15358,Freiburg,,2016-11-20
15359,Glarus,,2016-11-20
15360,Jura,,2016-11-20
15361,Neuenburg,,2016-11-20
15362,Nidwalden,,2016-11-20
15363,Schaffhausen,,2016-11-20
15364,Uri,,2016-11-20
15365,Waadt,,2016-11-20
15366,Glarus,100.0,2018-06-17
15367,Nidwalden,43.0,2018-06-17
15368,Schaffhausen,39.0,2018-06-17
15369,Solothurn,36.0,2018-06-17
15370,Graubünden,30.0,2018-06-17
15371,Sankt Gallen,23.0,2018-06-17
15372,Aargau,22.0,2018-06-17
15373,Luzern,20.0,2018-06-17
15374,Thurgau,19.0,2018-06-17
15375,Schwyz,18.0,2018-06-17
15376,Basel-Landschaft,18.0,2018-06-17
15377,Zürich,18.0,2018-06-17
15378,Basel-Stadt,16.0,2018-06-17
15379,Bern,15.0,2018-06-17
15380,Zug,15.0,2018-06-17
15381,Freiburg,12.0,2018-06-17
15382,Wallis,9.0,2018-06-17
15383,Genf,7.0,2018-06-17
15384,Waadt,3.0,2018-06-17
15385,Appenzell Innerrhoden,,2018-06-17
15386,Appenzell Ausserrhoden,,2018-06-17
15387,Jura,,2018-06-17
15388,Neuenburg,,2018-06-17
15389,Obwalden,,2018-06-17
15390,Tessin,,2018-06-17
15391,Uri,,2018-06-17
15392,Obwalden,100.0,2016-02-29
15393,Glarus,86.0,2016-02-29
15394,Graubünden,49.0,2016-02-29
15395,Basel-Landschaft,41.0,2016-02-29
15396,Schaffhausen,35.0,2016-02-29
15397,Thurgau,24.0,2016-02-29
15398,Aargau,24.0,2016-02-29
15399,Sankt Gallen,23.0,2016-02-29
15400,Luzern,20.0,2016-02-29
15401,Bern,20.0,2016-02-29
15402,Zürich,19.0,2016-02-29
15403,Solothurn,13.0,2016-02-29
15404,Zug,13.0,2016-02-29
15405,Basel-Stadt,12.0,2016-02-29
15406,Freiburg,8.0,2016-02-29
15407,Wallis,7.0,2016-02-29
15408,Tessin,5.0,2016-02-29
15409,Genf,5.0,2016-02-29
15410,Waadt,4.0,2016-02-29
15411,Appenzell Innerrhoden,,2016-02-29
15412,Appenzell Ausserrhoden,,2016-02-29
15413,Jura,,2016-02-29
15414,Neuenburg,,2016-02-29
15415,Nidwalden,,2016-02-29
15416,Schwyz,,2016-02-29
15417,Uri,,2016-02-29
15418,Glarus,100.0,2016-08-10
15419,Appenzell Ausserrhoden,76.0,2016-08-10
15420,Nidwalden,69.0,2016-08-10
15421,Zug,44.0,2016-08-10
15422,Schaffhausen,39.0,2016-08-10
15423,Solothurn,32.0,2016-08-10
15424,Sankt Gallen,24.0,2016-08-10
15425,Schwyz,23.0,2016-08-10
15426,Luzern,22.0,2016-08-10
15427,Basel-Stadt,20.0,2016-08-10
15428,Aargau,20.0,2016-08-10
15429,Zürich,17.0,2016-08-10
15430,Bern,16.0,2016-08-10
15431,Graubünden,16.0,2016-08-10
15432,Thurgau,14.0,2016-08-10
15433,Basel-Landschaft,12.0,2016-08-10
15434,Wallis,8.0,2016-08-10
15435,Waadt,5.0,2016-08-10
15436,Genf,3.0,2016-08-10
15437,Appenzell Innerrhoden,,2016-08-10
15438,Freiburg,,2016-08-10
15439,Jura,,2016-08-10
15440,Neuenburg,,2016-08-10
15441,Obwalden,,2016-08-10
15442,Tessin,,2016-08-10
15443,Uri,,2016-08-10
15444,Appenzell Innerrhoden,100.0,2016-07-04
15445,Uri,64.0,2016-07-04
15446,Glarus,40.0,2016-07-04
15447,Nidwalden,28.0,2016-07-04
15448,Appenzell Ausserrhoden,25.0,2016-07-04
15449,Thurgau,19.0,2016-07-04
15450,Schaffhausen,16.0,2016-07-04
15451,Zug,13.0,2016-07-04
15452,Schwyz,12.0,2016-07-04
15453,Sankt Gallen,12.0,2016-07-04
15454,Basel-Landschaft,10.0,2016-07-04
15455,Graubünden,9.0,2016-07-04
15456,Luzern,8.0,2016-07-04
15457,Aargau,7.0,2016-07-04
15458,Bern,6.0,2016-07-04
15459,Basel-Stadt,6.0,2016-07-04
15460,Zürich,5.0,2016-07-04
15461,Solothurn,5.0,2016-07-04
15462,Neuenburg,5.0,2016-07-04
15463,Freiburg,3.0,2016-07-04
15464,Tessin,2.0,2016-07-04
15465,Genf,2.0,2016-07-04
15466,Waadt,2.0,2016-07-04
15467,Jura,,2016-07-04
15468,Obwalden,,2016-07-04
15469,Wallis,,2016-07-04
15470,Schaffhausen,100.0,2015-09-02
15471,Schwyz,42.0,2015-09-02
15472,Solothurn,22.0,2015-09-02
15473,Neuenburg,22.0,2015-09-02
15474,Wallis,19.0,2015-09-02
15475,Basel-Stadt,18.0,2015-09-02
15476,Basel-Landschaft,18.0,2015-09-02
15477,Aargau,18.0,2015-09-02
15478,Sankt Gallen,15.0,2015-09-02
15479,Zürich,15.0,2015-09-02
15480,Luzern,14.0,2015-09-02
15481,Graubünden,14.0,2015-09-02
15482,Zug,12.0,2015-09-02
15483,Freiburg,11.0,2015-09-02
15484,Bern,8.0,2015-09-02
15485,Genf,5.0,2015-09-02
15486,Waadt,3.0,2015-09-02
15487,Appenzell Innerrhoden,,2015-09-02
15488,Appenzell Ausserrhoden,,2015-09-02
15489,Glarus,,2015-09-02
15490,Jura,,2015-09-02
15491,Nidwalden,,2015-09-02
15492,Obwalden,,2015-09-02
15493,Thurgau,,2015-09-02
15494,Tessin,,2015-09-02
15495,Uri,,2015-09-02
15496,Uri,100.0,2015-11-28
15497,Glarus,84.0,2015-11-28
15498,Basel-Stadt,22.0,2015-11-28
15499,Schwyz,20.0,2015-11-28
15500,Luzern,10.0,2015-11-28
15501,Basel-Landschaft,9.0,2015-11-28
15502,Sankt Gallen,9.0,2015-11-28
15503,Graubünden,9.0,2015-11-28
15504,Aargau,6.0,2015-11-28
15505,Solothurn,5.0,2015-11-28
15506,Wallis,4.0,2015-11-28
15507,Zürich,4.0,2015-11-28
15508,Bern,3.0,2015-11-28
15509,Waadt,1.0,2015-11-28
15510,Appenzell Innerrhoden,,2015-11-28
15511,Appenzell Ausserrhoden,,2015-11-28
15512,Freiburg,,2015-11-28
15513,Genf,,2015-11-28
15514,Jura,,2015-11-28
15515,Neuenburg,,2015-11-28
15516,Nidwalden,,2015-11-28
15517,Obwalden,,2015-11-28
15518,Schaffhausen,,2015-11-28
15519,Thurgau,,2015-11-28
15520,Tessin,,2015-11-28
15521,Zug,,2015-11-28
15522,Appenzell Ausserrhoden,100.0,2018-01-14
15523,Uri,67.0,2018-01-14
15524,Glarus,65.0,2018-01-14
15525,Zug,63.0,2018-01-14
15526,Nidwalden,59.0,2018-01-14
15527,Schwyz,47.0,2018-01-14
15528,Basel-Landschaft,42.0,2018-01-14
15529,Basel-Stadt,42.0,2018-01-14
15530,Thurgau,40.0,2018-01-14
15531,Aargau,36.0,2018-01-14
15532,Luzern,34.0,2018-01-14
15533,Schaffhausen,33.0,2018-01-14
15534,Sankt Gallen,29.0,2018-01-14
15535,Graubünden,27.0,2018-01-14
15536,Zürich,25.0,2018-01-14
15537,Solothurn,23.0,2018-01-14
15538,Bern,16.0,2018-01-14
15539,Tessin,11.0,2018-01-14
15540,Wallis,10.0,2018-01-14
15541,Genf,9.0,2018-01-14
15542,Freiburg,8.0,2018-01-14
15543,Appenzell Innerrhoden,,2018-01-14
15544,Jura,,2018-01-14
15545,Neuenburg,,2018-01-14
15546,Obwalden,,2018-01-14
15547,Waadt,,2018-01-14
15548,Appenzell Ausserrhoden,100.0,2017-11-27
15549,Graubünden,60.0,2017-11-27
15550,Zug,41.0,2017-11-27
15551,Basel-Landschaft,37.0,2017-11-27
15552,Schaffhausen,34.0,2017-11-27
15553,Jura,32.0,2017-11-27
15554,Solothurn,31.0,2017-11-27
15555,Aargau,30.0,2017-11-27
15556,Thurgau,30.0,2017-11-27
15557,Schwyz,24.0,2017-11-27
15558,Zürich,24.0,2017-11-27
15559,Bern,22.0,2017-11-27
15560,Luzern,21.0,2017-11-27
15561,Basel-Stadt,20.0,2017-11-27
15562,Sankt Gallen,15.0,2017-11-27
15563,Wallis,15.0,2017-11-27
15564,Waadt,4.0,2017-11-27
15565,Appenzell Innerrhoden,,2017-11-27
15566,Freiburg,,2017-11-27
15567,Genf,,2017-11-27
15568,Glarus,,2017-11-27
15569,Neuenburg,,2017-11-27
15570,Nidwalden,,2017-11-27
15571,Obwalden,,2017-11-27
15572,Tessin,,2017-11-27
15573,Uri,,2017-11-27
15574,Aargau,100.0,2016-12-14
15575,Sankt Gallen,73.0,2016-12-14
15576,Zug,72.0,2016-12-14
15577,Schwyz,71.0,2016-12-14
15578,Bern,69.0,2016-12-14
15579,Thurgau,68.0,2016-12-14
15580,Solothurn,60.0,2016-12-14
15581,Freiburg,59.0,2016-12-14
15582,Basel-Landschaft,58.0,2016-12-14
15583,Luzern,57.0,2016-12-14
15584,Basel-Stadt,52.0,2016-12-14
15585,Zürich,49.0,2016-12-14
15586,Graubünden,41.0,2016-12-14
15587,Wallis,30.0,2016-12-14
15588,Genf,24.0,2016-12-14
15589,Tessin,23.0,2016-12-14
15590,Waadt,7.0,2016-12-14
15591,Appenzell Innerrhoden,,2016-12-14
15592,Appenzell Ausserrhoden,,2016-12-14
15593,Glarus,,2016-12-14
15594,Jura,,2016-12-14
15595,Neuenburg,,2016-12-14
15596,Nidwalden,,2016-12-14
15597,Obwalden,,2016-12-14
15598,Schaffhausen,,2016-12-14
15599,Uri,,2016-12-14
15600,Glarus,100.0,2017-06-19
15601,Obwalden,85.0,2017-06-19
15602,Uri,82.0,2017-06-19
15603,Nidwalden,68.0,2017-06-19
15604,Appenzell Ausserrhoden,58.0,2017-06-19
15605,Thurgau,42.0,2017-06-19
15606,Sankt Gallen,28.0,2017-06-19
15607,Luzern,23.0,2017-06-19
15608,Bern,22.0,2017-06-19
15609,Graubünden,20.0,2017-06-19
15610,Zug,18.0,2017-06-19
15611,Basel-Landschaft,17.0,2017-06-19
15612,Schwyz,17.0,2017-06-19
15613,Zürich,16.0,2017-06-19
15614,Solothurn,16.0,2017-06-19
15615,Basel-Stadt,13.0,2017-06-19
15616,Aargau,13.0,2017-06-19
15617,Wallis,8.0,2017-06-19
15618,Freiburg,8.0,2017-06-19
