,canton,search_wohnung,date
207,Wallis,,2017-02-12
208,Nidwalden,100.0,2015-12-20
209,Schaffhausen,77.0,2015-12-20
210,Graubünden,29.0,2015-12-20
211,Basel-Stadt,25.0,2015-12-20
212,Aargau,23.0,2015-12-20
213,Bern,19.0,2015-12-20
214,Luzern,19.0,2015-12-20
215,Thurgau,18.0,2015-12-20
216,Basel-Landschaft,15.0,2015-12-20
217,Freiburg,13.0,2015-12-20
218,Solothurn,11.0,2015-12-20
219,Wallis,11.0,2015-12-20
220,Zürich,11.0,2015-12-20
221,Sankt Gallen,6.0,2015-12-20
222,Appenzell Innerrhoden,,2015-12-20
223,Appenzell Ausserrhoden,,2015-12-20
224,Genf,,2015-12-20
225,Glarus,,2015-12-20
226,Jura,,2015-12-20
227,Neuenburg,,2015-12-20
228,Obwalden,,2015-12-20
229,Schwyz,,2015-12-20
230,Tessin,,2015-12-20
231,Uri,,2015-12-20
232,Waadt,,2015-12-20
233,Zug,,2015-12-20
234,Nidwalden,100.0,2016-01-21
235,Glarus,99.0,2016-01-21
236,Schaffhausen,34.0,2016-01-21
237,Basel-Landschaft,26.0,2016-01-21
238,Schwyz,26.0,2016-01-21
239,Basel-Stadt,23.0,2016-01-21
240,Graubünden,21.0,2016-01-21
241,Solothurn,21.0,2016-01-21
242,Aargau,15.0,2016-01-21
243,Zürich,13.0,2016-01-21
244,Luzern,13.0,2016-01-21
245,Sankt Gallen,13.0,2016-01-21
246,Thurgau,10.0,2016-01-21
247,Bern,10.0,2016-01-21
248,Freiburg,7.0,2016-01-21
249,Wallis,6.0,2016-01-21
250,Tessin,5.0,2016-01-21
251,Genf,2.0,2016-01-21
252,Waadt,1.0,2016-01-21
253,Appenzell Innerrhoden,,2016-01-21
254,Appenzell Ausserrhoden,,2016-01-21
255,Jura,,2016-01-21
256,Neuenburg,,2016-01-21
257,Obwalden,,2016-01-21
258,Uri,,2016-01-21
259,Zug,,2016-01-21
260,Appenzell Innerrhoden,100.0,2017-04-02
261,Glarus,38.0,2017-04-02
262,Uri,36.0,2017-04-02
263,Schaffhausen,30.0,2017-04-02
264,Nidwalden,27.0,2017-04-02
265,Appenzell Ausserrhoden,24.0,2017-04-02
266,Basel-Stadt,18.0,2017-04-02
267,Schwyz,15.0,2017-04-02
268,Aargau,13.0,2017-04-02
269,Thurgau,10.0,2017-04-02
270,Luzern,10.0,2017-04-02
271,Basel-Landschaft,9.0,2017-04-02
272,Sankt Gallen,8.0,2017-04-02
273,Zürich,8.0,2017-04-02
274,Bern,7.0,2017-04-02
275,Freiburg,7.0,2017-04-02
276,Graubünden,7.0,2017-04-02
277,Zug,6.0,2017-04-02
278,Solothurn,5.0,2017-04-02
279,Genf,4.0,2017-04-02
280,Wallis,3.0,2017-04-02
281,Waadt,1.0,2017-04-02
282,Jura,,2017-04-02
283,Neuenburg,,2017-04-02
284,Obwalden,,2017-04-02
285,Tessin,,2017-04-02
286,Uri,100.0,2016-08-25
287,Schaffhausen,86.0,2016-08-25
288,Jura,55.0,2016-08-25
289,Schwyz,48.0,2016-08-25
290,Graubünden,31.0,2016-08-25
291,Aargau,31.0,2016-08-25
292,Basel-Landschaft,26.0,2016-08-25
293,Thurgau,25.0,2016-08-25
294,Sankt Gallen,24.0,2016-08-25
295,Solothurn,22.0,2016-08-25
296,Luzern,22.0,2016-08-25
297,Bern,19.0,2016-08-25
298,Basel-Stadt,18.0,2016-08-25
299,Zürich,17.0,2016-08-25
300,Freiburg,11.0,2016-08-25
301,Genf,5.0,2016-08-25
302,Waadt,3.0,2016-08-25
303,Appenzell Innerrhoden,,2016-08-25
304,Appenzell Ausserrhoden,,2016-08-25
305,Glarus,,2016-08-25
306,Neuenburg,,2016-08-25
307,Nidwalden,,2016-08-25
308,Obwalden,,2016-08-25
309,Tessin,,2016-08-25
310,Wallis,,2016-08-25
311,Zug,,2016-08-25
312,Obwalden,100.0,2018-06-22
313,Glarus,83.0,2018-06-22
314,Nidwalden,46.0,2018-06-22
315,Zug,45.0,2018-06-22
316,Solothurn,43.0,2018-06-22
317,Graubünden,32.0,2018-06-22
318,Thurgau,29.0,2018-06-22
319,Schwyz,26.0,2018-06-22
320,Basel-Stadt,23.0,2018-06-22
321,Sankt Gallen,22.0,2018-06-22
322,Aargau,20.0,2018-06-22
323,Basel-Landschaft,17.0,2018-06-22
324,Zürich,17.0,2018-06-22
325,Bern,16.0,2018-06-22
326,Luzern,11.0,2018-06-22
327,Wallis,9.0,2018-06-22
328,Freiburg,7.0,2018-06-22
329,Waadt,4.0,2018-06-22
330,Genf,3.0,2018-06-22
331,Appenzell Innerrhoden,,2018-06-22
332,Appenzell Ausserrhoden,,2018-06-22
333,Jura,,2018-06-22
334,Neuenburg,,2018-06-22
335,Schaffhausen,,2018-06-22
336,Tessin,,2018-06-22
337,Uri,,2018-06-22
338,Appenzell Ausserrhoden,100.0,2016-07-31
339,Zug,62.0,2016-07-31
340,Sankt Gallen,33.0,2016-07-31
341,Solothurn,32.0,2016-07-31
342,Graubünden,29.0,2016-07-31
343,Thurgau,29.0,2016-07-31
344,Basel-Stadt,27.0,2016-07-31
345,Aargau,22.0,2016-07-31
346,Luzern,17.0,2016-07-31
347,Zürich,15.0,2016-07-31
348,Basel-Landschaft,13.0,2016-07-31
349,Bern,12.0,2016-07-31
350,Freiburg,10.0,2016-07-31
351,Wallis,8.0,2016-07-31
352,Tessin,7.0,2016-07-31
353,Genf,3.0,2016-07-31
354,Waadt,3.0,2016-07-31
355,Appenzell Innerrhoden,,2016-07-31
356,Glarus,,2016-07-31
357,Jura,,2016-07-31
358,Neuenburg,,2016-07-31
359,Nidwalden,,2016-07-31
360,Obwalden,,2016-07-31
361,Schaffhausen,,2016-07-31
362,Schwyz,,2016-07-31
363,Uri,,2016-07-31
364,Nidwalden,100.0,2017-12-26
