dateindex,date,date_integer,ZH
2016-08-07,2016-08-07,343,14.0
2016-08-08,2016-08-08,344,15.0
2016-08-09,2016-08-09,345,11.0
2016-08-10,2016-08-10,346,17.0
2016-08-11,2016-08-11,347,10.0
2016-08-12,2016-08-12,348,12.0
2016-08-13,2016-08-13,349,8.0
2016-08-14,2016-08-14,350,9.0
2016-08-15,2016-08-15,351,16.0
2016-08-16,2016-08-16,352,11.0
2016-08-17,2016-08-17,353,13.0
2016-08-18,2016-08-18,354,16.0
2016-08-19,2016-08-19,355,15.0
2016-08-20,2016-08-20,356,13.0
2016-08-21,2016-08-21,357,18.0
2016-08-22,2016-08-22,358,7.0
2016-08-23,2016-08-23,359,18.0
2016-08-24,2016-08-24,360,6.0
2016-08-25,2016-08-25,361,17.0
2016-08-26,2016-08-26,362,6.0
2016-08-27,2016-08-27,363,14.0
2016-08-28,2016-08-28,364,16.0
2016-08-29,2016-08-29,365,19.0
2016-08-30,2016-08-30,366,11.0
2016-08-31,2016-08-31,367,5.0
2016-09-01,2016-09-01,368,40.0
2016-09-02,2016-09-02,369,22.0
2016-09-03,2016-09-03,370,16.0
2016-09-04,2016-09-04,371,6.0
2016-09-05,2016-09-05,372,11.0
2016-09-06,2016-09-06,373,16.0
2016-09-07,2016-09-07,374,25.0
2016-09-08,2016-09-08,375,9.0
2016-09-09,2016-09-09,376,15.0
2016-09-10,2016-09-10,377,5.0
2016-09-11,2016-09-11,378,18.0
2016-09-12,2016-09-12,379,26.0
2016-09-13,2016-09-13,380,22.0
2016-09-14,2016-09-14,381,18.0
2016-09-15,2016-09-15,382,32.0
2016-09-16,2016-09-16,383,57.0
2016-09-17,2016-09-17,384,17.0
2016-09-18,2016-09-18,385,27.0
2016-09-19,2016-09-19,386,18.0
2016-09-20,2016-09-20,387,12.0
2016-09-21,2016-09-21,388,19.0
2016-09-22,2016-09-22,389,19.0
2016-09-23,2016-09-23,390,14.0
2016-09-24,2016-09-24,391,16.0
2016-09-25,2016-09-25,392,13.0
2016-09-26,2016-09-26,393,26.0
2016-09-27,2016-09-27,394,32.0
2016-09-28,2016-09-28,395,9.0
2016-09-29,2016-09-29,396,14.0
2016-09-30,2016-09-30,397,12.0
2016-10-01,2016-10-01,398,8.0
2016-10-02,2016-10-02,399,22.0
2016-10-03,2016-10-03,400,11.0
2016-10-04,2016-10-04,401,5.0
2016-10-05,2016-10-05,402,10.0
2016-10-06,2016-10-06,403,60.0
2016-10-07,2016-10-07,404,19.0
2016-10-08,2016-10-08,405,7.0
2016-10-09,2016-10-09,406,14.0
2016-10-10,2016-10-10,407,9.0
2016-10-11,2016-10-11,408,16.0
2016-10-12,2016-10-12,409,17.0
2016-10-13,2016-10-13,410,14.0
2016-10-14,2016-10-14,411,25.0
2016-10-15,2016-10-15,412,14.0
2016-10-16,2016-10-16,413,15.0
2016-10-17,2016-10-17,414,19.0
2016-10-18,2016-10-18,415,6.0
2016-10-19,2016-10-19,416,3
2016-10-20,2016-10-20,417,6.0
2016-10-21,2016-10-21,418,3.0
2016-10-22,2016-10-22,419,3.0
2016-10-23,2016-10-23,420,5.0
2016-10-24,2016-10-24,421,19.0
2016-10-25,2016-10-25,422,6.0
2016-10-26,2016-10-26,423,6.0
2016-10-27,2016-10-27,424,15.0
2016-10-28,2016-10-28,425,38.0
2016-10-29,2016-10-29,426,9.0
2016-10-30,2016-10-30,427,8.0
2016-10-31,2016-10-31,428,16.0
2016-11-01,2016-11-01,429,17.0
2016-11-02,2016-11-02,430,17.0
2016-11-03,2016-11-03,431,11.0
2016-11-04,2016-11-04,432,11.0
2016-11-05,2016-11-05,433,3.0
2016-11-06,2016-11-06,434,17.0
2016-11-07,2016-11-07,435,12.0
2016-11-08,2016-11-08,436,6.0
2016-11-09,2016-11-09,437,12.0
2016-11-10,2016-11-10,438,17.0
2016-11-11,2016-11-11,439,9.0
2016-11-12,2016-11-12,440,13.0
2016-11-13,2016-11-13,441,50.0
2016-11-14,2016-11-14,442,5.0
2016-11-15,2016-11-15,443,20.0
2016-11-16,2016-11-16,444,15.0
2016-11-17,2016-11-17,445,13.0
2016-11-18,2016-11-18,446,47.0
2016-11-19,2016-11-19,447,29.0
2016-11-20,2016-11-20,448,16.0
2016-11-21,2016-11-21,449,15.0
2016-11-22,2016-11-22,450,10.0
2016-11-23,2016-11-23,451,7.0
2016-11-24,2016-11-24,452,10.0
2016-11-25,2016-11-25,453,4.0
2016-11-26,2016-11-26,454,9.0
2016-11-27,2016-11-27,455,11.0
2016-11-28,2016-11-28,456,13.0
2016-11-29,2016-11-29,457,12.0
2016-11-30,2016-11-30,458,11.0
2016-12-01,2016-12-01,459,17.0
2016-12-02,2016-12-02,460,11.0
2016-12-03,2016-12-03,461,14.0
2016-12-04,2016-12-04,462,23.0
2016-12-05,2016-12-05,463,8.0
2016-12-06,2016-12-06,464,14.0
2016-12-07,2016-12-07,465,8.0
2016-12-08,2016-12-08,466,4.0
2016-12-09,2016-12-09,467,27.0
2016-12-10,2016-12-10,468,3.0
2016-12-11,2016-12-11,469,8.0
2016-12-12,2016-12-12,470,5.0
2016-12-13,2016-12-13,471,10.0
2016-12-14,2016-12-14,472,49.0
2016-12-15,2016-12-15,473,14.0
2016-12-16,2016-12-16,474,4.0
2016-12-17,2016-12-17,475,8.0
2016-12-18,2016-12-18,476,12.0
2016-12-19,2016-12-19,477,11.0
2016-12-20,2016-12-20,478,15.0
2016-12-21,2016-12-21,479,21.0
2016-12-22,2016-12-22,480,15.0
2016-12-23,2016-12-23,481,10.0
2016-12-24,2016-12-24,482,7.0
2016-12-25,2016-12-25,483,13.0
2016-12-26,2016-12-26,484,6.0
2016-12-27,2016-12-27,485,13.0
2016-12-28,2016-12-28,486,11.0
2016-12-29,2016-12-29,487,17.0
2016-12-30,2016-12-30,488,19.0
2016-12-31,2016-12-31,489,7.0
2017-01-01,2017-01-01,490,12.0
2017-01-02,2017-01-02,491,15.0
2017-01-03,2017-01-03,492,16.0
2017-01-04,2017-01-04,493,18.0
2017-01-05,2017-01-05,494,14.0
2017-01-06,2017-01-06,495,12.0
2017-01-07,2017-01-07,496,11.0
2017-01-08,2017-01-08,497,10.0
2017-01-09,2017-01-09,498,8.0
2017-01-10,2017-01-10,499,25.0
2017-01-11,2017-01-11,500,26.0
2017-01-12,2017-01-12,501,27.0
2017-01-13,2017-01-13,502,12.0
2017-01-14,2017-01-14,503,8.0
2017-01-15,2017-01-15,504,6.0
2017-01-16,2017-01-16,505,6.0
2017-01-17,2017-01-17,506,19.0
2017-01-18,2017-01-18,507,22.0
2017-01-19,2017-01-19,508,14.0
2017-01-20,2017-01-20,509,16.0
2017-01-21,2017-01-21,510,14.0
2017-01-22,2017-01-22,511,9.0
2017-01-23,2017-01-23,512,20.0
2017-01-24,2017-01-24,513,7.0
2017-01-25,2017-01-25,514,12.0
2017-01-26,2017-01-26,515,10.0
2017-01-27,2017-01-27,516,7.0
2017-01-28,2017-01-28,517,8.0
2017-01-29,2017-01-29,518,40.0
2017-01-30,2017-01-30,519,24.0
2017-01-31,2017-01-31,520,11.0
2017-02-01,2017-02-01,521,13.0
2017-02-02,2017-02-02,522,19.0
2017-02-03,2017-02-03,523,8.0
2017-02-04,2017-02-04,524,27.0
2017-02-05,2017-02-05,525,25.0
2017-02-06,2017-02-06,526,15.0
2017-02-07,2017-02-07,527,20.0
2017-02-08,2017-02-08,528,4
2017-02-09,2017-02-09,529,7.0
2017-02-10,2017-02-10,530,6.0
2017-02-11,2017-02-11,531,10.0
2017-02-12,2017-02-12,532,10.0
2017-02-13,2017-02-13,533,25.0
2017-02-14,2017-02-14,534,6.0
2017-02-15,2017-02-15,535,10.0
2017-02-16,2017-02-16,536,22.0
2017-02-17,2017-02-17,537,27.0
2017-02-18,2017-02-18,538,7.0
2017-02-19,2017-02-19,539,18.0
2017-02-20,2017-02-20,540,21.0
2017-02-21,2017-02-21,541,8.0
2017-02-22,2017-02-22,542,11.0
2017-02-23,2017-02-23,543,19.0
2017-02-24,2017-02-24,544,9.0
2017-02-25,2017-02-25,545,4.0
2017-02-26,2017-02-26,546,16.0
2017-02-27,2017-02-27,547,20.0
2017-02-28,2017-02-28,548,17.0
2017-03-01,2017-03-01,549,7.0
2017-03-02,2017-03-02,550,22.0
2017-03-03,2017-03-03,551,18.0
2017-03-04,2017-03-04,552,24.0
2017-03-05,2017-03-05,553,21.0
2017-03-06,2017-03-06,554,26.0
2017-03-07,2017-03-07,555,31.0
2017-03-08,2017-03-08,556,21.0
2017-03-09,2017-03-09,557,14.0
2017-03-10,2017-03-10,558,16.0
2017-03-11,2017-03-11,559,38.0
2017-03-12,2017-03-12,560,5.0
2017-03-13,2017-03-13,561,19.0
2017-03-14,2017-03-14,562,38.0
2017-03-15,2017-03-15,563,21.0
2017-03-16,2017-03-16,564,20.0
2017-03-17,2017-03-17,565,15.0
2017-03-18,2017-03-18,566,8.0
2017-03-19,2017-03-19,567,20.0
2017-03-20,2017-03-20,568,8.0
2017-03-21,2017-03-21,569,28.0
2017-03-22,2017-03-22,570,16.0
2017-03-23,2017-03-23,571,19.0
2017-03-24,2017-03-24,572,17.0
2017-03-25,2017-03-25,573,13.0
2017-03-26,2017-03-26,574,14.0
2017-03-27,2017-03-27,575,14.0
2017-03-28,2017-03-28,576,4.0
2017-03-29,2017-03-29,577,19.0
2017-03-30,2017-03-30,578,13.0
2017-03-31,2017-03-31,579,11.0
2017-04-01,2017-04-01,580,8.0
2017-04-02,2017-04-02,581,8.0
2017-04-03,2017-04-03,582,16.0
2017-04-04,2017-04-04,583,18.0
2017-04-05,2017-04-05,584,20.0
2017-04-06,2017-04-06,585,14.0
2017-04-07,2017-04-07,586,19.0
2017-04-08,2017-04-08,587,9.0
2017-04-09,2017-04-09,588,16.0
2017-04-10,2017-04-10,589,19.0
2017-04-11,2017-04-11,590,12.0
2017-04-12,2017-04-12,591,6.0
2017-04-13,2017-04-13,592,23.0
2017-04-14,2017-04-14,593,16.0
2017-04-15,2017-04-15,594,13.0
2017-04-16,2017-04-16,595,10.0
2017-04-17,2017-04-17,596,5.0
2017-04-18,2017-04-18,597,19.0
2017-04-19,2017-04-19,598,32.0
2017-04-20,2017-04-20,599,10.0
2017-04-21,2017-04-21,600,7.0
2017-04-22,2017-04-22,601,23.0
2017-04-23,2017-04-23,602,18.0
2017-04-24,2017-04-24,603,11.0
2017-04-25,2017-04-25,604,25.0
2017-04-26,2017-04-26,605,23.0
2017-04-27,2017-04-27,606,21.0
2017-04-28,2017-04-28,607,18.0
2017-04-29,2017-04-29,608,5.0
2017-04-30,2017-04-30,609,16.0
2017-05-01,2017-05-01,610,26.0
2017-05-02,2017-05-02,611,19.0
2017-05-03,2017-05-03,612,21.0
2017-05-04,2017-05-04,613,18.0
2017-05-05,2017-05-05,614,5.0
2017-05-06,2017-05-06,615,10.0
2017-05-07,2017-05-07,616,11.0
2017-05-08,2017-05-08,617,27.0
2017-05-09,2017-05-09,618,16.0
2017-05-10,2017-05-10,619,13.0
2017-05-11,2017-05-11,620,12.0
2017-05-12,2017-05-12,621,18.0
2017-05-13,2017-05-13,622,15.0
2017-05-14,2017-05-14,623,20.0
2017-05-15,2017-05-15,624,10.0
2017-05-16,2017-05-16,625,6.0
2017-05-17,2017-05-17,626,18.0
2017-05-18,2017-05-18,627,7.0
2017-05-19,2017-05-19,628,12.0
2017-05-20,2017-05-20,629,15.0
2017-05-21,2017-05-21,630,28.0
2017-05-22,2017-05-22,631,22.0
2017-05-23,2017-05-23,632,17.0
2017-05-24,2017-05-24,633,17.0
2017-05-25,2017-05-25,634,30.0
2017-05-26,2017-05-26,635,9.0
2017-05-27,2017-05-27,636,29.0
2017-05-28,2017-05-28,637,16.0
2017-05-29,2017-05-29,638,10.0
2017-05-30,2017-05-30,639,14.0
2017-05-31,2017-05-31,640,11.0
2017-06-01,2017-06-01,641,16.0
2017-06-02,2017-06-02,642,16.0
2017-06-03,2017-06-03,643,15.0
2017-06-04,2017-06-04,644,50.0
2017-06-05,2017-06-05,645,7.0
2017-06-06,2017-06-06,646,23.0
2017-06-07,2017-06-07,647,14.0
2017-06-08,2017-06-08,648,9.0
2017-06-09,2017-06-09,649,9.0
2017-06-10,2017-06-10,650,26.0
2017-06-11,2017-06-11,651,26.0
2017-06-12,2017-06-12,652,9.0
2017-06-13,2017-06-13,653,16.0
2017-06-14,2017-06-14,654,40.0
2017-06-15,2017-06-15,655,51.0
2017-06-16,2017-06-16,656,8.0
2017-06-17,2017-06-17,657,15.0
2017-06-18,2017-06-18,658,13.0
2017-06-19,2017-06-19,659,16.0
2017-06-20,2017-06-20,660,20.0
2017-06-21,2017-06-21,661,9.0
2017-06-22,2017-06-22,662,16.0
2017-06-23,2017-06-23,663,13.0
2017-06-24,2017-06-24,664,10.0
2017-06-25,2017-06-25,665,18.0
2017-06-26,2017-06-26,666,13.0
2017-06-27,2017-06-27,667,14.0
