dateindex,date,date_integer,BE
2016-07-16,2016-07-16,321,9.0
2016-07-17,2016-07-17,322,22.0
2016-07-18,2016-07-18,323,10.0
2016-07-19,2016-07-19,324,13.0
2016-07-20,2016-07-20,325,18.0
2016-07-21,2016-07-21,326,33.0
2016-07-22,2016-07-22,327,9.0
2016-07-23,2016-07-23,328,21.0
2016-07-24,2016-07-24,329,12.0
2016-07-25,2016-07-25,330,19.0
2016-07-26,2016-07-26,331,13.0
2016-07-27,2016-07-27,332,8.0
2016-07-28,2016-07-28,333,22.0
2016-07-29,2016-07-29,334,7.0
2016-07-30,2016-07-30,335,10.0
2016-07-31,2016-07-31,336,12.0
2016-08-01,2016-08-01,337,5.0
2016-08-02,2016-08-02,338,9.0
2016-08-03,2016-08-03,339,22.0
2016-08-04,2016-08-04,340,15.0
2016-08-05,2016-08-05,341,25.0
2016-08-06,2016-08-06,342,20.0
2016-08-07,2016-08-07,343,10.0
2016-08-08,2016-08-08,344,19.0
2016-08-09,2016-08-09,345,15.0
2016-08-10,2016-08-10,346,16.0
2016-08-11,2016-08-11,347,17.0
2016-08-12,2016-08-12,348,19.0
2016-08-13,2016-08-13,349,9.0
2016-08-14,2016-08-14,350,9.0
2016-08-15,2016-08-15,351,20.0
2016-08-16,2016-08-16,352,19.0
2016-08-17,2016-08-17,353,8.0
2016-08-18,2016-08-18,354,15.0
2016-08-19,2016-08-19,355,19.0
2016-08-20,2016-08-20,356,14.0
2016-08-21,2016-08-21,357,25.0
2016-08-22,2016-08-22,358,9.0
2016-08-23,2016-08-23,359,16.0
2016-08-24,2016-08-24,360,9.0
2016-08-25,2016-08-25,361,19.0
2016-08-26,2016-08-26,362,6.0
2016-08-27,2016-08-27,363,12.0
2016-08-28,2016-08-28,364,23.0
2016-08-29,2016-08-29,365,21.0
2016-08-30,2016-08-30,366,9.0
2016-08-31,2016-08-31,367,6.0
2016-09-01,2016-09-01,368,51.0
2016-09-02,2016-09-02,369,17.0
2016-09-03,2016-09-03,370,14.0
2016-09-04,2016-09-04,371,8.0
2016-09-05,2016-09-05,372,8.0
2016-09-06,2016-09-06,373,11.0
2016-09-07,2016-09-07,374,12.0
2016-09-08,2016-09-08,375,10.0
2016-09-09,2016-09-09,376,22.0
2016-09-10,2016-09-10,377,6.0
2016-09-11,2016-09-11,378,15.0
2016-09-12,2016-09-12,379,13.0
2016-09-13,2016-09-13,380,15.0
2016-09-14,2016-09-14,381,16.0
2016-09-15,2016-09-15,382,21.0
2016-09-16,2016-09-16,383,55.0
2016-09-17,2016-09-17,384,17.0
2016-09-18,2016-09-18,385,21.0
2016-09-19,2016-09-19,386,21.0
2016-09-20,2016-09-20,387,13.0
2016-09-21,2016-09-21,388,22.0
2016-09-22,2016-09-22,389,26.0
2016-09-23,2016-09-23,390,16.0
2016-09-24,2016-09-24,391,23.0
2016-09-25,2016-09-25,392,16.0
2016-09-26,2016-09-26,393,13.0
2016-09-27,2016-09-27,394,24.0
2016-09-28,2016-09-28,395,6.0
2016-09-29,2016-09-29,396,22.0
2016-09-30,2016-09-30,397,12.0
2016-10-01,2016-10-01,398,8.0
2016-10-02,2016-10-02,399,26.0
2016-10-03,2016-10-03,400,10.0
2016-10-04,2016-10-04,401,5.0
2016-10-05,2016-10-05,402,15.0
2016-10-06,2016-10-06,403,76.0
2016-10-07,2016-10-07,404,23.0
2016-10-08,2016-10-08,405,3.0
2016-10-09,2016-10-09,406,15.0
2016-10-10,2016-10-10,407,8.0
2016-10-11,2016-10-11,408,15.0
2016-10-12,2016-10-12,409,19.0
2016-10-13,2016-10-13,410,13.0
2016-10-14,2016-10-14,411,46.0
2016-10-15,2016-10-15,412,12.0
2016-10-16,2016-10-16,413,9.0
2016-10-17,2016-10-17,414,11.0
2016-10-18,2016-10-18,415,9.0
2016-10-19,2016-10-19,416,4
2016-10-20,2016-10-20,417,5.0
2016-10-21,2016-10-21,418,2.0
2016-10-22,2016-10-22,419,5.0
2016-10-23,2016-10-23,420,8.0
2016-10-24,2016-10-24,421,19.0
2016-10-25,2016-10-25,422,6.0
2016-10-26,2016-10-26,423,6.0
2016-10-27,2016-10-27,424,16.0
2016-10-28,2016-10-28,425,36.0
2016-10-29,2016-10-29,426,8.0
2016-10-30,2016-10-30,427,6.0
2016-10-31,2016-10-31,428,14.0
2016-11-01,2016-11-01,429,16.0
2016-11-02,2016-11-02,430,19.0
2016-11-03,2016-11-03,431,16.0
2016-11-04,2016-11-04,432,17.0
2016-11-05,2016-11-05,433,5.0
2016-11-06,2016-11-06,434,14.0
2016-11-07,2016-11-07,435,6.0
2016-11-08,2016-11-08,436,8.0
2016-11-09,2016-11-09,437,17.0
2016-11-10,2016-11-10,438,23.0
2016-11-11,2016-11-11,439,8.0
2016-11-12,2016-11-12,440,17.0
2016-11-13,2016-11-13,441,55.0
2016-11-14,2016-11-14,442,6.0
2016-11-15,2016-11-15,443,21.0
2016-11-16,2016-11-16,444,19.0
2016-11-17,2016-11-17,445,12.0
2016-11-18,2016-11-18,446,62.0
2016-11-19,2016-11-19,447,10.0
2016-11-20,2016-11-20,448,21.0
2016-11-21,2016-11-21,449,24.0
2016-11-22,2016-11-22,450,12.0
2016-11-23,2016-11-23,451,10.0
2016-11-24,2016-11-24,452,8.0
2016-11-25,2016-11-25,453,4.0
2016-11-26,2016-11-26,454,11.0
2016-11-27,2016-11-27,455,13.0
2016-11-28,2016-11-28,456,18.0
2016-11-29,2016-11-29,457,18.0
2016-11-30,2016-11-30,458,18.0
2016-12-01,2016-12-01,459,21.0
2016-12-02,2016-12-02,460,29.0
2016-12-03,2016-12-03,461,12.0
2016-12-04,2016-12-04,462,29.0
2016-12-05,2016-12-05,463,10.0
2016-12-06,2016-12-06,464,10.0
2016-12-07,2016-12-07,465,12.0
2016-12-08,2016-12-08,466,6.0
2016-12-09,2016-12-09,467,26.0
2016-12-10,2016-12-10,468,4.0
2016-12-11,2016-12-11,469,7.0
2016-12-12,2016-12-12,470,5.0
2016-12-13,2016-12-13,471,9.0
2016-12-14,2016-12-14,472,69.0
2016-12-15,2016-12-15,473,16.0
2016-12-16,2016-12-16,474,5.0
2016-12-17,2016-12-17,475,9.0
2016-12-18,2016-12-18,476,14.0
2016-12-19,2016-12-19,477,9.0
2016-12-20,2016-12-20,478,30.0
2016-12-21,2016-12-21,479,28.0
2016-12-22,2016-12-22,480,12.0
2016-12-23,2016-12-23,481,11.0
2016-12-24,2016-12-24,482,2.0
2016-12-25,2016-12-25,483,17.0
2016-12-26,2016-12-26,484,5.0
2016-12-27,2016-12-27,485,10.0
2016-12-28,2016-12-28,486,13.0
2016-12-29,2016-12-29,487,18.0
2016-12-30,2016-12-30,488,19.0
2016-12-31,2016-12-31,489,6.0
2017-01-01,2017-01-01,490,8.0
2017-01-02,2017-01-02,491,13.0
2017-01-03,2017-01-03,492,12.0
2017-01-04,2017-01-04,493,14.0
2017-01-05,2017-01-05,494,17.0
2017-01-06,2017-01-06,495,11.0
2017-01-07,2017-01-07,496,22.0
2017-01-08,2017-01-08,497,14.0
2017-01-09,2017-01-09,498,5.0
2017-01-10,2017-01-10,499,38.0
2017-01-11,2017-01-11,500,33.0
2017-01-12,2017-01-12,501,23.0
2017-01-13,2017-01-13,502,11.0
2017-01-14,2017-01-14,503,9.0
2017-01-15,2017-01-15,504,8.0
2017-01-16,2017-01-16,505,6.0
2017-01-17,2017-01-17,506,15.0
2017-01-18,2017-01-18,507,23.0
2017-01-19,2017-01-19,508,20.0
2017-01-20,2017-01-20,509,19.0
2017-01-21,2017-01-21,510,17.0
2017-01-22,2017-01-22,511,11.0
2017-01-23,2017-01-23,512,18.0
2017-01-24,2017-01-24,513,5.0
2017-01-25,2017-01-25,514,17.0
2017-01-26,2017-01-26,515,14.0
2017-01-27,2017-01-27,516,9.0
2017-01-28,2017-01-28,517,12.0
2017-01-29,2017-01-29,518,32.0
2017-01-30,2017-01-30,519,25.0
2017-01-31,2017-01-31,520,15.0
2017-02-01,2017-02-01,521,9.0
2017-02-02,2017-02-02,522,18.0
2017-02-03,2017-02-03,523,10.0
2017-02-04,2017-02-04,524,33.0
2017-02-05,2017-02-05,525,22.0
2017-02-06,2017-02-06,526,10.0
2017-02-07,2017-02-07,527,32.0
2017-02-08,2017-02-08,528,4
2017-02-09,2017-02-09,529,7.0
2017-02-10,2017-02-10,530,6.0
2017-02-11,2017-02-11,531,9.0
2017-02-12,2017-02-12,532,7.0
2017-02-13,2017-02-13,533,28.0
2017-02-14,2017-02-14,534,6.0
2017-02-15,2017-02-15,535,13.0
2017-02-16,2017-02-16,536,34.0
2017-02-17,2017-02-17,537,25.0
2017-02-18,2017-02-18,538,7.0
2017-02-19,2017-02-19,539,15.0
2017-02-20,2017-02-20,540,21.0
2017-02-21,2017-02-21,541,6.0
2017-02-22,2017-02-22,542,12.0
2017-02-23,2017-02-23,543,28.0
2017-02-24,2017-02-24,544,9.0
2017-02-25,2017-02-25,545,3.0
2017-02-26,2017-02-26,546,13.0
2017-02-27,2017-02-27,547,23.0
2017-02-28,2017-02-28,548,21.0
2017-03-01,2017-03-01,549,10.0
